id	category	type	en	ko	zh	kk	bn	uz	options
Q1	Personal Background	likert	Full Name	→ 성명	姓名	Аты-ж?н?	???? ???	To'liq ism-sharifingiz	
Q2	Personal Background	likert	"Status (Regular, Transfer, Exchange)"	"→ 신분 (정규, 편입, 교환학생)"	身?（正式生、?班生、交?生）	"М?ртебес? (т?ра?ты, ауысу, алмасу)"	"?????? (???????, ??????????, ???????)"	"Holati (Doimiy, Transfer, Almashinuv)"	
Q3	Personal Background	likert	E-mail Address	→ 이메일 주소	?子?件地址	Электронды? пошта мекенжайы	?-???? ??????	Elektron pochta manzili	
Q4	Personal Background	likert	Degree	→ 학위 과정	?位?程	Д?реже	??????	Daraja	
Q5	Personal Background	likert	Status	→ 재학 상태	在校??	М?ртебес?	??????	Holati	
Q6	Personal Background	likert	"Year of Study (1st, 2nd, 3rd, 4th)"	"→ 재학 학년 (1학년, 2학년, 3학년, 4학년)"	在?年?（大一、大二、大三、大四）	"О?у жылы (1, 2, 3, 4)"	"????????? ??? (??, ???, ???, ????)"	"O'qish yili (1, 2, 3, 4)"	
Q7	Personal Background	likert	"Gender (Male, Female)"	"→ 성별 (남성, 여성)"	性?（男、女）	"Жынысы (ер, ?йел)"	"????? (?????, ?????)"	"Jinsi (Erkak, Ayol)"	
Q8	Personal Background	likert	"Age (15-20, 20-25, 25-30, 30+)"	"→ 연령 (15?20세, 20?25세, 25?30세, 30세 이상)"	年?（15?20?、20?25?、25?30?、30?以上）	"Жасы (15-20, 20-25, 25-30, 30+)"	"???? (??-??, ??-??, ??-??, ??+)"	"Yoshi (15-20, 20-25, 25-30, 30+)"	
Q9	Personal Background	likert	Country	→ 국적(국가)	?籍（?家）	Ел	???	Mamlakat	
Q10	Personal Background	text	What is your current status at the university?	→ 현재 대학에서의 신분/상태는 무엇입니까?	?目前在本校的身?/??是什?？	Университеттег? ?аз?рг? м?ртебе??з ?андай?	??????????????? ????? ??????? ?????? ???	Universitetdagi hozirgi mavqeingiz qanday?	
Q11	Orientation Week Team Building	likert	The Orientation Week Team Building challenge was well organized.	→ 오리엔테이션 주간 팀빌딩 활동은 잘 구성되어 있었습니다.	迎新周的??建?活???得?好。	Ба?ыттау апталы?ыны? команда ??ру сына?ы жа?сы ?йымдастырылды.	???????????? ???????? ??? ??????? ??????????? ???????? ????	Orientatsiya haftaligi jamoani shakllantirish musobaqasi yaxshi tashkil etilgan edi.	
Q12	Orientation Week Team Building	likert	It was a useful opportunity to prepare me for my specific program and life at Endicott (socially and academically).	→ 이 활동은 전공 프로그램과 엔디컷에서의 사회·학업 생활을 준비하는 데 유익한 기회였습니다.	??活??我今后的???程??以及在 Endicott 的社????生活提供了?好的准?机?。	Б?л мен? Эндикотта?ы на?ты ба?дарламама ж?не ?м?р?ме (?леуметт?к ж?не академиялы? т?р?ыдан) дайындау ?ш?н пайдалы м?мк?нд?к болды.	??? ???????-? ???? ????????? ????????? ??? ?????? ???? (??????? ??? ????????????) ???????? ???? ???? ???? ??????? ????? ????	Bu meni Endicottdagi maxsus dastur va hayotimga (ijtimoiy va akademik jihatdan) tayyorlash uchun foydali imkoniyat bo'ldi.	
